Day,BaseRate
1,263.1802596176364
2,247.91087105371017
3,233.85087245109378
4,214.59933123726782
5,208.2074191795287
6,210.4074707091177
7,200.09577470276378
8,196.6661477437461
9,110.5362505326807
10,177.65158933241415
11,108.64974046305228
12,151.12896997649383
13,148.00172985624738
14,148.00172985624738
15,148.00172985624738
16,148.00172985624738
17,151.6780046796019
18,148.00172985624738
19,103.41489333202591
20,173.5978585791741
21,175.6107404914419
22,103.41489333202591
23,192.34010755454722
24,196.49245848038603
25,189.85376312945533
26,202.5853332678665
27,218.01644668329763
28,233.52483709820956
29,249.63819604773553
30,265.4807175029282
